order_id,cust_id,order date,prod_id,quantity,status
A-001,32483,12/15/2018 9:15,2,2,shipped
A-005,21456,1/12/2019 9:28,2,1,shipped
A-005,21456,1/12/2019 9:28,2,1,shipped
A-005,21456,1/12/2019 9:28,2,1,shipped
A-005,21456,1/12/2019 9:28,3,2,shipped
A-006,42491,1/16/2019 2:52,4,3,paid
A-007,42492,1/17/2019 2:52,14,5,paid
A-008,21456,1/17/2020 2:52,6,2,paid
A-009,32483,1/18/2020 2:52,7,2,paid
A-009,32483,1/18/2020 2:52,11,2,paid
A-009,32483,1/18/2020 2:52,4,2,paid
A-010,42491,1/19/2020 2:52,8,6,created
A-011,42492,1/20/2020 2:52,9,4,created
A-012,42492,1/21/2020 2:52,10,1,created
A-013,42492,1/22/2020 2:52,11,0.1,shipped
A-014,42492,1/23/2020 2:52,11,1,shipped
A-21,,1/23/2020 2:52,7,2,created
A-22,,1/23/2020 2:52,8,3,cancelled
A-015,42492,1/24/2020 2:52,12,3,paid
A-016,42492,1/25/2020 2:52,13,6,shipped
A-017,42492,1/26/2020 2:52,13,8,shipped
A-018,42492,1/27/2020 2:52,14,20,shipped
A-019,42492,1/28/2020 2:52,14,3,paid
A-020,42492,1/29/2020 2:52,14,3,paid
